10492722,Túnel Deputada Antonieta de Barros,trunk,NULL,NULL,NULL,NULL,"bicycle"=>"no","lanes"=>"3","layer"=>"-1","maxspeed"=>"80","oneway"=>"yes","tunnel"=>"yes"
10492725,Avenida da Saudade,trunk,NULL,NULL,NULL,NULL,"lanes"=>"3","maxspeed"=>"60","oneway"=>"yes","postal_code"=>"88036-010","surface"=>"asphalt"
10492726,Rodovia Armando Calil Bulos,primary,NULL,NULL,NULL,NULL,"access"=>"no","ref"=>"SC-403"
10492763,Rodovia Admar Gonzaga,primary,NULL,NULL,NULL,NULL,"maxspeed"=>"50","oneway"=>"yes","postal_code"=>"88034-100","ref"=>"SC-404","surface"=>"asphalt"
10492764,Rodovia Admar Gonzaga,primary,NULL,NULL,NULL,NULL,"oneway"=>"no","ref"=>"SC-404"
10594905,Rodovia Gustavo Richard,trunk,NULL,NULL,NULL,NULL,"lanes"=>"3","maxspeed"=>"80","oneway"=>"yes"
35130332,Rodovia José Carlos Daux,trunk,NULL,NULL,NULL,NULL,"lanes"=>"2","maxspeed"=>"80","oneway"=>"yes","ref"=>"SC-401"
35130529,Rodovia Admar Gonzaga,primary,NULL,NULL,NULL,NULL,"lanes"=>"2","oneway"=>"yes","postal_code"=>"88034-100","ref"=>"SC-404","surface"=>"asphalt"
35130530,NULL,primary,NULL,NULL,NULL,NULL,"lanes"=>"2","maxspeed"=>"50","oneway"=>"yes"
35130531,Rodovia Admar Gonzaga,primary,NULL,NULL,NULL,NULL,"lanes"=>"2","oneway"=>"no","postal_code"=>"88034-000","ref"=>"SC-404","surface"=>"asphalt"
35131710,Acesso à Avenida da Saudade,trunk_link,NULL,NULL,NULL,NULL,"lanes"=>"1","oneway"=>"yes","postal_code"=>"88036-010","surface"=>"asphalt"
35131712,NULL,trunk,NULL,NULL,NULL,NULL,"lanes"=>"2","maxspeed"=>"80","oneway"=>"yes"
35131713,Avenida da Saudade,trunk,NULL,NULL,NULL,NULL,"lanes"=>"2","maxspeed"=>"60","oneway"=>"yes","surface"=>"asphalt"
35131834,Avenida Professor Henrique da Silva Fontes,trunk,NULL,NULL,NULL,NULL,"lanes"=>"3","maxspeed"=>"80","oneway"=>"yes"
35133744,NULL,trunk,NULL,NULL,NULL,NULL,"lanes"=>"2","maxspeed"=>"60","oneway"=>"yes","surface"=>"asphalt"
35133828,Avenida da Saudade,trunk,NULL,NULL,NULL,NULL,"lanes"=>"3","maxspeed"=>"60","oneway"=>"yes","postal_code"=>"88036-010","ref"=>"SC-401","surface"=>"asphalt","turn:lanes"=>"slight_left|slight_left|slight_right"
35134206,Avenida das Nações,secondary,NULL,NULL,NULL,NULL,"oneway"=>"yes"
35136467,Rodovia José Carlos Daux,trunk,NULL,NULL,NULL,NULL,"cycleway:right"=>"lane","maxspeed"=>"80","oneway"=>"yes","ref"=>"SC401"
35136957,NULL,primary_link,NULL,NULL,NULL,NULL,"oneway"=>"yes","ref"=>"SC-403"
35136985,NULL,primary_link,NULL,NULL,NULL,NULL,"oneway"=>"yes","ref"=>"SC-403"
35160452,Rua Henrique Veras do Nascimento,primary,NULL,NULL,NULL,NULL,"oneway"=>"yes","surface"=>"asphalt"
35160476,NULL,primary,NULL,NULL,NULL,NULL,"bridge"=>"yes","layer"=>"1","maxspeed"=>"40","oneway"=>"no","sidewalk"=>"both","surface"=>"asphalt"
35160478,Avenida das Rendeiras,primary,NULL,NULL,NULL,NULL,"maxspeed"=>"60","oneway"=>"no","surface"=>"paving_stones"
35160492,Rua Manoel Severino de Oliveira,residential,NULL,NULL,NULL,NULL,NULL
35160517,Rua Henrique Veras do Nascimento,primary,NULL,NULL,NULL,NULL,"oneway"=>"no","surface"=>"asphalt"
35160537,Rua Moacyr Pereira Júnior,primary,NULL,NULL,NULL,NULL,"alt_name"=>"Rua Moacir Pereira Júnior","oneway"=>"yes","ref:log"=>"201642","source:alt_name"=>"Lei Municipal 2973/88","source:name"=>"survey","surface"=>"asphalt"
35160543,Rua Manoel Severino de Oliveira,primary,NULL,NULL,NULL,NULL,"oneway"=>"yes","surface"=>"asphalt"
35161004,Avenida Governador Irineu Bornhausen,trunk,NULL,NULL,NULL,NULL,"lanes"=>"3","maxspeed"=>"80","oneway"=>"yes"
35161005,Avenida Governador Irineu Bornhausen,trunk,NULL,NULL,NULL,NULL,"lanes"=>"3","lit"=>"yes","maxspeed"=>"80","oneway"=>"yes"
35161019,Rua Deputado Antônio Edu Vieira,trunk,NULL,NULL,NULL,NULL,"lanes"=>"2","oneway"=>"yes"
35161174,Avenida Osvaldo Rodrigues Cabral,trunk,NULL,NULL,NULL,NULL,"lanes"=>"3","maxspeed"=>"80","oneway"=>"yes"
35161207,Avenida Paulo Fontes,primary,NULL,NULL,NULL,NULL,"lanes"=>"3","oneway"=>"yes","turn:lanes"=>"merge_to_right|through|right"
35161227,Elevado Francisco Dias Velho,trunk,NULL,NULL,NULL,NULL,"lanes"=>"2","maxspeed"=>"60","oneway"=>"yes"
35161897,Elevado Francisco Dias Velho,trunk,NULL,NULL,NULL,NULL,"lanes"=>"2","maxspeed"=>"60","oneway"=>"yes"
35162293,Rua Antônio Pereira Oliveira Neto,trunk,NULL,NULL,NULL,NULL,"lanes"=>"2","maxspeed"=>"60","oneway"=>"yes"
35162313,Rua Antônio Pereira Oliveira Neto,trunk,NULL,NULL,NULL,NULL,"lanes"=>"4","maxspeed"=>"60","oneway"=>"yes"
35162491,Avenida Paulo Fontes,primary,NULL,NULL,NULL,NULL,"lanes"=>"3","oneway"=>"yes"
35163128,Rodovia Gustavo Richard,trunk,NULL,NULL,NULL,NULL,"bridge"=>"yes","lanes"=>"3","layer"=>"1","maxspeed"=>"80","oneway"=>"yes"
35163176,NULL,secondary,NULL,NULL,NULL,NULL,"maxspeed"=>"40","oneway"=>"yes"
35164653,Túnel Deputada Antonieta de Barros,trunk,NULL,NULL,NULL,NULL,"bicycle"=>"no","lanes"=>"3","layer"=>"-1","maxspeed"=>"80","oneway"=>"yes","tunnel"=>"yes"
35164721,NULL,footway,NULL,NULL,NULL,NULL,"bicycle"=>"dismount","bridge"=>"yes","foot"=>"yes","layer"=>"1"
35164948,NULL,secondary,NULL,NULL,NULL,NULL,"maxspeed"=>"40","oneway"=>"yes"
35164949,Acesso à Rodovia Governador Aderbal Ramos da Silva,trunk_link,NULL,NULL,NULL,NULL,"lanes"=>"2","oneway"=>"yes"
35165031,Rua Deputado Antônio Edu Vieira,secondary,NULL,NULL,NULL,NULL,"oneway"=>"yes"
35165049,Rua Deputado Antônio Edu Vieira,secondary,NULL,NULL,NULL,NULL,"bicycle"=>"yes","cycleway"=>"no","lanes"=>"2","maxspeed"=>"40","oneway"=>"no","postal_code"=>"88040-000","sidewalk"=>"both","surface"=>"asphalt"
35165050,Rua Deputado Antônio Edu Vieira,secondary,NULL,NULL,NULL,NULL,"oneway"=>"yes"
